НЕВРОЗОВ клиника N8 им.З.П.Соловьева ГМУ Москвы	"375-19-87"	111539	Вешняковская 23
НАРКОЛОГИЧЕСКАЯ больница N17 ГМУ Москвы	"119-58-16"	113149	Болотниковская 16
Клиническая больница N33 им.А.А.Остроумова ГМУ Москвы	"268-09-16 268-24-26,Травмпункт 268-09-51"	107014	Стромынка 7
Клиническая больница N50	"216-62-22"	125206	Вучетича 21
Клиническая больница N52	"197-10-10,Аллергологический центр 196-45-65"	123426	Пехотная 2/3
Клиническая больница N67 ГМУ Москвы	"199-91-32 199-38-53,Поликлиника 199-91-69"	123448	Саляма Адиля 2
АРТРОЛОГИЧЕСКАЯ городская больница ГМУ Москвы	"276-04-47 276-37-71"	109044	"4-й Крутицкий пер 10"
Детская клиническая больница N1 ГМУ Москвы (Морозовская)	"230-06-62,Консультативная поликлиника 230-04-25,Кардиоревматологический диспансер 230-07-57,Консультативный офтальмологический центр 236-35-69"	117049	"4-й Добрынинский пер 1"
Детская клиническая больница N3 ГМУ Москвы	"465-11-74,Центр гастроэнтерологии 465-12-53,Центр гематологии 465-83-49,Центр гинекологии детей и подростков 465-62-13,Центр эндоскопии 465-63-95"		Верхняя Первомайская 15/48
Детская клиническая больница N3 ГМУ Москвы	"465-11-74,Центр гастроэнтерологии 465-12-53,Центр гематологии 465-83-49,Центр гинекологии детей и подростков 465-62-13,Центр эндоскопии 465-63-95"		"13-я Парковая 6"
Детская клиническая больница N9 ГМУ Москвы	"259-58-67,Консультативная поликлиника 259-13-07"	123317	Шмитовский пр 29
Детская клиническая больница N13 им. Филатова ГМУ Москвы	"254-71-79 254-91-29"	103001	"Садово-Кудринская 15"
ПСИХОНЕВРОЛОГИЧЕСКАЯ детская клиническая больница N18 ГМУ Москвы	"430-02-29 430-80-40"	117602	Пельше 6
"ОРТОПЕДО-ХИРУРГИЧЕСКАЯ детская клиническая больница N19 им. Шумской ГМУ Москвы"	"161-22-22 963-84-53 168-86-33"	107061	Бол Черкизовская 12
ТРАВМАТОЛОГИЧЕСКАЯ детская клиническая больница N20 им. К.А.Тимирязева ГМУ Москвы	"238-80-12 238-77-21"	109180	Бол Полянка 20
Российская детская клиническая больница во имя Покрова Пресвятой Богородицы МЗ РФ	"434-10-00 936-90-45 936-90-09"	117517	Ленинский просп 117
Детская клиническая больница Святого Владимира ГМУ Москвы (им. И.В.Русакова)	"268-22-31 268-22-30"	107014	"Рубцовско-Дворцовая 1/3"	
Центральная клиническая больница Правительственного медицинского центра РФ	"141-90-79 414-03-00,Поликлиника при ЦКБ 140-30-76,Запись на выполнение липоскульптуры 149-50-25"	121356	Маршала Тимошенко 15	
Российская клиническая больница N1 МЗ РФ	"143-22-70 147-93-19"	119285	Мичуринский просп 6	
"Объединенная больница Московского лечебно-санаторного объединения"	"561-55-00 561-53-32"	143412	"Московская обл., Красногорский р-н,пос. Отрадное Пятницкое ш., 6-й км"	
Клиническая больница ГСПУ АП РФ	"167-05-88 167-24-52 167-04-97"	107143	Открытое шоссе 40	
Американский медицинский центр в Москве	"956-33-66"	123100	Шмитовский пр 3	
	Круглосуточно		Верхн Красносельская 19	НЕОТЛОЖНАЯ СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ ВЗРОСЛЫМ
	Круглосуточно		Болотниковская 53	НЕОТЛОЖНАЯ СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ ВЗРОСЛЫМ
	Круглосуточно		Свободы 2	НЕОТЛОЖНАЯ СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ ВЗРОСЛЫМ
	С 19:00 до 8:00 ежедневно,круглосуточно в выходные и праздничные дни		Генерала Ермолова 12	НЕОТЛОЖНАЯ СТОМАТОЛОГИЧЕСКАЯ ПОМОЩЬ ДЕТЯМ
	С 20:00 до 8:00 ежедневно,круглосуточно в выходные и праздничные дни		Институтский пер 5	НЕОТЛОЖНАЯ ПСИХИАТРИЧЕСКАЯ ПОМОЩЬ
КБ N1 им.Н.И.Пирогова ГМУ Москвы	"236-65-35 Глазная поликлиника 236-91-95 236-72-27 ЛОР-поликлиника 952-45-65 Поликлиника 952-41-25"	117049	Ленинский просп 8	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N15			Вешняковская 23	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N24			Писцовая 10	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
КБ N52			Маршала Рыбалко 22	БОЛЬНИЦЫ ДЛЯ ВЗРОСЛЫХ
